title,date,severity,summary,link,year
Ghost vulnerable to arbitrary file read via symlinks in content import,2023-08-15 20:35:20+00:00,Moderate,"CVE-2023-40028was published
                        forghost(npm)Aug 15, 2023",https://github.com/advisories/GHSA-9c9v-w225-v5rg,2023
Yaklang Plugin's Fuzztag Component Allows Unauthorized Local File Reading,2023-08-15 20:08:17+00:00,Moderate,"CVE-2023-40023was published
                        forgithub.com/yaklang/yaklang(Go)Aug 15, 2023",https://github.com/advisories/GHSA-xvhg-w6qc-m3qq,2023
Scancode.io Reflected Cross-Site Scripting (XSS) in license endpoint,2023-08-15 20:04:49+00:00,Moderate,"CVE-2023-40024was published
                        forscancodeio(pip)Aug 15, 2023",https://github.com/advisories/GHSA-6xcx-gx7r-rccj,2023
"When `ui.isAccessAllowed` is `undefined`, the `adminMeta` GraphQL query is publicly accessible",2023-08-15 20:04:14+00:00,Moderate,"CVE-2023-40027was published
                        for@keystone-6/core(npm)Aug 15, 2023",https://github.com/advisories/GHSA-9cvc-v7wm-992c,2023
PandasAI vulnerable to arbitrary code execution,2023-08-15 18:31:32+00:00,Critical,"CVE-2023-39661was published
                        forpandasai(pip)Aug 15, 2023",https://github.com/advisories/GHSA-8fp9-43pw-56vw,2023
LangChain vulnerable to arbitrary code execution,2023-08-15 18:31:32+00:00,Moderate,"CVE-2023-38896was published
                        forlangchain(pip)Aug 15, 2023",https://github.com/advisories/GHSA-92j5-3459-qgp4,2023
Alluxio vulnerable to arbitrary code execution,2023-08-15 18:31:32+00:00,Moderate,"CVE-2023-38889was published
                        fororg.alluxio:alluxio-parent(Maven)Aug 15, 2023",https://github.com/advisories/GHSA-xrrh-h86w-pwfj,2023
llama-index vulnerable to arbitrary code execution,2023-08-15 18:31:32+00:00,Critical,"CVE-2023-39662was published
                        forllama-index(pip)Aug 15, 2023",https://github.com/advisories/GHSA-2xxc-73fv-36f7,2023
LibreNMS Cross-site Scripting vulnerability,2023-08-15 03:31:32+00:00,High,"CVE-2023-4347was published
                        forlibrenms/librenms(Composer)Aug 15, 2023",https://github.com/advisories/GHSA-m6pf-cm3f-7876,2023
Tornado vulnerable to HTTP request smuggling via improper parsing of `Content-Length` fields and chunk lengths,2023-08-14 21:34:17+00:00,Moderate,"GHSA-qppv-j76h-2rpxwas published
                        fortornado(pip)Aug 14, 2023",https://github.com/advisories/GHSA-qppv-j76h-2rpx,2023
